時間,コメント,ラベル,,
2433.759,ナイス,0,,
2435.287,草,1,,
2435.521,マンチが今日こんなキルしてたなw,1,,
2435.745,うんま,0,,
2436.322,草,1,,
2436.396,草,1,,
2436.727,しゃあなくねえかｗ,0,,
2437.19,草,1,,
2437.22,葛ミス！？,0,,
2437.612,草,1,,
2437.577,その振り向きヤバい,0,,
2439.024,ラグ利用してる？ｗ,0,,
2440.323,草,1,,
2440.491,ノリにノッてきたw,1,,
2440.532,にゃらか；；,0,,
2440.531,草,1,,
2440.563,草,1,,
2440.584,草,1,,
2440.688,草,1,,
2441.505,草,1,,
2441.507,草,1,,
2441.512,草,1,,
2441.784,草,1,,
2442.515,草,1,,
2442.827,草,1,,
2443.019,草,1,,
2443.562,にゃらか,0,,
2443.626,草,1,,
2444.758,草,1,,
2445.279,草,1,,
2445.392,草,1,,
2445.41,草,1,,
2445.481,いけめんｗ,0,,
2445.745,kuzuha smurfing I see,0,,
2445.853,たま当てろよ草,0,,
2445.885,the white girl was cute,1,,
2446.47,ほんとだ147与えてるわ,0,,
2446.533,にゃら〜；；,0,,
2446.617,当てろよw,1,,
2447.064,実は,0,,
2447.162,どーもねぇ,0,,
2447.18,草,1,,
2447.728,こんにゃらぁ！！,0,,
2448.28,にゃらか；；,0,,
2448.52,優しいw,1,,
2448.578,ホストだ,0,,
2449.007,高いping、振り向き精度、こりゃスミスか,0,,
2449.138,o,0,,
2449.302,にゃらか泣いちゃった；；,0,,
2449.365,草,1,,
2449.499,草,1,,
2449.655,もっとフォロー頑張れよｗ,0,,
2450.407,ｗｗ,0,,
2450.608,草,1,,
2451.52,あーあ、泣いちゃったｗ,0,,
2452.281,草,1,,
2452.311,草,1,,
2452.469,刀かっけえ,0,,
2452.708,草,1,,
2452.76,泣かないで～,0,,
2453.129,ピングーエイム,1,,
2454.427,草,1,,
2455.034,ナイス！,1,,
2456.575,イケボw,1,,
2457.285,メンタルのカバー上手い,1,,
2457.414,にゃらか…,1,,
2458.403,りりむいなくても出来るね‥,1,,
2458.369,このライブのタイトル見てみて？,1,,
2457.783,ww,1,,
2461.513,かよちゃんアシストもすごいな,1,,
2461.741,ちゃんとホストしてる,1,,
2462.274,ナイス,1,,
2464.198,足ｗ,1,,
2464.683,異常聴覚w,1,,
2464.715,観戦が特にラグいだけでプレイには支障は今んとこ大丈夫そ？,1,,
2465.098,草,1,,
2468.331,にゃらかいいひと,1,,
2470.465,ナイスゥ！,1,,
2470.537,ないす,1,,
2472.569,ナイス！,1,,
2473.138,ナイス,1,,
2473.803,ナイスカバー,1,,
2475.341,うあ,1,,
2475.365,ナイス,1,,
2475.686,gg,1,,
2476.858,gg,1,,
2477.001,ナイス,1,,
2477.016,向こう視点どうなってんだろ,1,,
2477.775,ナイスカバー,1,,
2478.187,but a black guy in the staircase is questionable,1,,
2478.434,ないすうううううううううう,1,,
2478.599,ナイスゥ！！,1,,
2479.002,ナイス,1,,
2479.007,gg,1,,
2479.138,GG,1,,
2479.237,ないすぅ！,1,,
2479.376,ナイスゥgg,1,,
2479.466,ナイスゥ！,1,,
2479.448,ナイス,1,,
2479.688,ナイス！！！,1,,
2479.746,ないす！！！,1,,
2479.842,gg,1,,
2480.84,ナイスゥ,1,,
2481.083,ナイスゥ！,1,,
2481.276,ナイス！！,1,,
2481.389,ナイスー！！,1,,
2481.482,gg,1,,
2481.561,gg,1,,
2481.566,ナイスゥ～！ｇｇ,1,,
2481.655,こわ,1,,
2481.716,ナイスゥ！,1,,
2482.224,ナイス,1,,
2482.36,ナイッスゥ！,1,,
2482.586,ないす,1,,
2482.587,gg,1,,
2482.715,ないす～～,1,,
2483.145,gg,1,,
2483.157,ナイスゥ,1,,
2483.298,ナイスゥ,1,,
2483.31,ナイス！！,1,,
2483.352,ないす,1,,
2483.369,GG,1,,
2483.407,ないすー！,1,,
2483.445,ナイス！！gg,1,,
2483.478,gg,1,,
2483.519,gg,1,,
2483.543,ﾅｲｽｩ,1,,
2483.694,ナイス！,1,,
2483.841,gg,1,,
2483.871,gg,1,,
2483.884,ナイス！！,1,,
2484.689,GG!!!,1,,
2484.715,ナイス！,1,,
2484.85,ナイスゥ！！！,1,,
2484.869,gg,1,,
2485.024,ナイス！,1,,
2485.035,なぃすう,1,,
2485.279,ないす～,1,,
2485.346,gg,1,,
2485.752,ナイスゥ！！,1,,
2485.818,ナイス〜〜〜！！ GG,1,,
2487.369,ないすー！,1,,
2487.496,gg,1,,
2487.613,ナイスゥ！GG,1,,
2487.645,ナイスー！,1,,
2488.069,ナイスゥ！,1,,
2488.346,ナイスゥ！,1,,
2488.62,ナイスゥ！,1,,
2488.673,ナイスゥ,1,,
2488.805,GG!,1,,
2488.807,gg,1,,
2488.828,ナイスゥ！,1,,
2489.006,gg,1,,
2489.086,gg,1,,
2489.188,gg,1,,
2489.27,ナイス！,1,,
2489.496,ナイスゥ！,1,,
2491.234,gg,1,,
2491.754,ないすー！！,1,,
2491.885,ナイスー！,1,,
2493.658,gg,1,,
2493.81,gg,1,,
2494.999,gg,1,,
2495.642,gg,1,,
2495.874,gg,1,,
2497.145,いてら,0,,
2497.149,一旦再起動か,0,,
2497.668,gg,0,,
2499.368,勝ったから再起動やな,0,,
2499.439,gg,0,,
2499.684,いや草,0,,
2499.73,草,1,,
2499.793,ないすー！,0,,
2500.606,ナイス〜！,0,,
2501.256,ナイスー！,0,,
2501.332,草,1,,
2501.445,いや草,0,,
2501.508,gg,0,,
2501.88,草,1,,
2501.884,PCサイキじゃね,0,,
2502.142,再起で直ってくれー！,0,,
2502.259,草,1,,
2502.401,ナイス〜GG,0,,
2502.581,草,1,,
2502.867,草,1,,
2503.053,草,1,,
2503.21,エイムもだけど立ち回りがよしｗ,0,,
2503.263,gg,0,,
2503.39,ラグキャリーナイス,0,,
2503.445,草,1,,
2503.617,ww,1,,
2504.324,草,1,,
2505.313,悪口言う前提は草,0,,
2505.391,草,1,,
2505.44,gg,0,,
2506.342,草,1,,
2506.708,草,1,,
2507.186,何も言ってないよｗ,0,,
2507.721,草,1,,
2507.722,草,1,,
2508.308,草,1,,
2508.869,草,1,,
2508.945,gg,0,,
2508.957,草,1,,
2509.248,gg,0,,
2509.331,gg,0,,
2509.398,草,1,,
2509.754,葛葉視点ラグのせいでマジでチーターに見えるw,1,,
2509.85,草,1,,
2509.864,守りマップか,0,,
2510.394,草,1,,
2510.721,誰も言わないってww,1,,
2510.901,いいね,0,,
2511.189,gg,0,,
2511.374,草,1,,
2511.91,gg,0,,
2512.253,ないすー！,0,,
2512.272,草,1,,
2513.523,二重ちゃん,0,,
2513.767,悪口はいてもいうぞ,0,,
2513.901,絶対言わんやろw,1,,
2514.045,that is what i find annoying about this,1,,
2514.803,草,1,,
2515.397,ナイスゥ！,0,,
2515.636,草,1,,
2516.052,gg!,0,,
2516.672,おもろい,0,,
2516.844,草,1,,
2517.493,VALOのオートバランス本当に有能だな,0,,
2518.25,gg,0,,
2519.271,草,1,,
2519.692,草,1,,
2520.454,こん,0,,
2520.701,人間不信にもほどがあるな,0,,
2520.755,言わんわw,1,,
2520.804,gg,0,,
2520.912,w,1,,
2522.168,バランス良かった,0,,
2522.884,二重こんー,0,,
2523.023,二重さんこんばんは,0,,
2523.139,草,1,,
2523.309,【】疑心暗鬼【】,0,,
2523.416,草,1,,
2523.421,ガレリアくれよ‥,0,,
2525.624,しししーつよいね,0,,
2526.207,gg,0,,
2529.42,二重,0,,
2529.615,楽しいやｗ,0,,
2532.185,草,1,,
2533.614,草,1,,
2533.64,いみないなｗ,0,,
2533.681,草,1,,
2533.781,草,1,,
2533.816,意味ないw,1,,
2534.497,草,1,,
2534.494,草,1,,
2534.498,ｗ,0,,
2534.559,草,1,,
2534.937,草,1,,
2535.293,草,1,,
2535.322,草,1,,
2535.532,いや草,0,,
2535.857,草,1,,
2535.904,意味ねえｗｗ,0,,
2536.552,草,1,,
2536.586,同じだなｗ,0,,
2536.647,草,1,,
2536.862,一緒やんw,1,,
2536.98,草,1,,
2537.377,草,1,,
2537.448,草,1,,
2538.979,草,1,,
2540.245,草,1,,
2540.838,草,1,,
2541.002,同じやw,1,,
2540.981,ふわっち草,0,,
2541.94,すごいなぷわっち,0,,
2542.109,草,1,,
2542.131,草,1,,
2542.197,草,1,,
2543.277,おっしゃる通りでw,1,,
2543.455,草,1,,
2543.49,サイドを変更しただけなんよ,0,,
2543.596,えぇw,1,,
2544.187,草,1,,
2544.456,草,1,,
2545.217,草,1,,
2546.331,天才だよ,0,,
2546.486,草,1,,
2547.144,意味ないねぇ笑,0,,
2547.329,草,1,,
2547.519,草,1,,
2547.52,草,1,,
2547.7,お前、すごいな,0,,
2547.72,草,1,,
2548.256,草,1,,
2548.341,攻守入れ替えただけ,0,,
2548.493,仰る通りでw,1,,
2548.673,草,1,,
2548.831,お前すごいな！,0,,
2549.287,草,1,,
2549.554,草,1,,
2549.582,草,1,,
2549.598,コートチェンジやんけw,1,,
2549.626,ふわっち草,0,,
2549.829,にーさん,0,,
2550.614,草,1,,
2551.096,草,1,,
2551.422,それじゃコートチェンジなんよ,0,,
2551.887,兄さん変えたい,0,,
2552.257,兄さんww,1,,
2552.457,草,1,,
2552.488,脳死やんw,1,,
2553.122,にいさん？,0,,
2553.695,天才ですか？,0,,
2554.275,兄さんw,1,,
2554.641,兄さん！？,0,,
2554.853,それは不破,0,,
2555.189,攻守交代なだけw,1,,
2555.436,兄さん…？,0,,
2555.718,兄さん！？,0,,
2555.763,ほんま天才,0,,
2555.86,葛葉じゃないよ,0,,
2557.359,草,1,,
2558.246,草,1,,
2559.566,萎え落ち草,0,,
2559.855,コーヒー吹きかけたww,1,,
2560.634,な～んだなえたのか,0,,
2560.873,萎え落ち？w,1,,
2562.167,カスタムで萎え落ち気まず,0,,
2562.918,ぇ,0,,
2563.195,兄さんと勘違いかなw,1,,
2563.589,草,1,,
2563.591,草,1,,
2563.719,萎え落ちｗ,0,,
2567.315,笑,0,,
2567.387,勝ったのに萎えたw,1,,
2568.681,萎え落ち；；；；,0,,
2568.855,何これ。。。,0,,
2570.244,勝って萎えたんだw,1,,
2571.031,萎えたw,1,,
2571.042,ハユン,0,,
2571.135,フラグトップで萎え落ちw,1,,
2571.337,しししーさん？,0,,
2571.354,天才ふわっち,0,,
2571.529,何も変わらなくて草,0,,
2572.687,勝ったのに萎え落ち,0,,
2574.29,草,1,,
2574.488,ててんてーん,0,,
2575.439,葛葉の事‥,0,,
2575.679,ててんてん,0,,
2575.772,フラグトップで萎えた,0,,
2575.879,ﾋﾟﾝﾎﾟｰﾝﾊﾟｰﾝ,0,,
2577.111,はゆんくんの声癒しだ,0,,
2577.366,とぅんとぅん,0,,
2578.431,ｷﾀ━(ﾟ∀ﾟ)━!,0,,
2579.798,とぅるんとぅん,0,,
2579.803,感動的だな (^U^)←ニーサン,0,,
2580.836,_KuzuhaRusu,0,,
2581.117,pc蘇生の音,0,,
2583.603,ﾎﾟﾎﾟﾝﾎﾟ-ﾝ,0,,
2586.231,てぃろん,0,,
2588.664,フラグトップで萎えた…,0,,
2588.813,おかえり(｡･Д･｡)ﾉ,0,,
2589.067,好きなおと,0,,
2589.069,ﾋﾟﾛ,0,,
2589.752,nannka,0,,
2589.916,ﾋﾟﾎﾞｯ,0,,
2592.434,ww,1,,
2592.665,勝って萎え落ちは意識高すぎる,0,,
2592.858,これで治ると良いけど,0,,
2595.087,アセンダント,0,,
2595.728,ふわち強かったね,0,,
2595.731,ぴぽん,0,,
2597.807,勝ったのに萎え落ち新しい,0,,
2599.322,草,1,,
2599.452,ﾋﾟﾎﾟﾝ♪,0,,
2599.704,超楽しい…,0,,
2600.104,草,1,,
2600.162,ww,1,,
2600.579,草,1,,
2601.425,まじうまかった,0,,
2601.483,草,1,,
2602.836,ﾋﾟﾛﾝ,0,,
2603.833,omen？,0,,
2606.251,あら,0,,
2609.249,草,1,,
2609.417,あれ？w,1,,
2609.821,gHUBの音かｗ,0,,
2610.183,nyo dressed in black wating in the staircase,0,,
2610.884,あら,0,,
2612.066,あら,0,,
2613.998,え,0,,
2614.245,草,1,,
2614.287,ありゃ,0,,
2615.017,え？,0,,
2615.833,ヒトボえぐいてｗｗ,0,,
2615.937,おわっちゃったんだ,0,,
2616.258,なんか聞いたことない音してる,0,,
2616.324,あら,0,,
2617.28,a lil creepy,0,,
2617.251,あれ？,0,,
2617.536,あら,0,,
2618.474,ヴァロって楽しいんだな…,0,,
2618.868,やほ,0,,
2618.967,ありゃまあ,0,,
2620.565,ありゃ,0,,
2621.292,まじ？,0,,
2621.871,テロン,0,,
2623.735,なおれなおれ,0,,
2623.865,ヒットボックスヴァロ,0,,
2623.99,ありゃ,0,,
2625.257,あー,0,,
2628.496,あらぁ？,0,,
2629.268,ラグとは別の問題？,0,,
2629.293,あら,0,,
2629.836,あら,0,,
2631.446,ぴろん,0,,
2631.559,ﾋﾟﾎﾟﾝ,0,,
2631.667,ありゃ,0,,
2633.018,あれま,0,,
2634.005,ててん,0,,
2635.746,なんの音？,0,,
2637.126,あれ,0,,
2638.313,テロン,0,,
2639.169,なおれー！,0,,
2640.942,えど,0,,
2641.144,テロンテロン言うとる,0,,
2642.494,草,1,,
2642.623,いやらしい女,1,,
2642.664,ヘソかな,1,,
2642.723,えっど,1,,
2642.775,センシティブ,1,,
2643.382,やらしいは草,1,,
2643.653,語弊あるw,1,,
2643.698,草,1,,
2643.841,草,1,,
2644.098,語弊がある,1,,
2644.82,語弊,1,,
2645.411,大丈夫か,1,,
2648.007,やらしいにゃらか,1,,
2649.632,たらい回しで草,1,,
2650.207,奈羅花はやらしいと,1,,
2650.253,えっっ,1,,
2651.169,ww,1,,
2651.293,やらしいか,1,,
2651.298,草,1,,
2651.553,背中がやらしい！？,1,,
2651.902,語弊しかないｗ,1,,
2652.517,やらしかったか,1,,
2653.27,but he got away so i could go shopping,1,,
2653.431,草,1,,
2653.606,奈羅花はやらしい,1,,
2653.641,ど、どこが！？,1,,
2655.464,姦しいｗ,1,,
2655.878,背中がやらしい！？,1,,
2656.056,ちょっとにゃらかやらしいか,1,,
2656.078,草,1,,
2656.225,背中には鬼の顔が…,1,,
2657.445,草,1,,
2657.408,にゃらかはやらしいか…,1,,
2657.545,にゃらかは、やらしいw,1,,
2657.904,草,1,,
2657.937,やらしいならか,1,,
2657.986,草,1,,
2658.249,草,1,,
2658.473,草,1,,
2658.495,楽しそうな会話w,1,,
2658.672,草,1,,
2659.54,草,1,,
2659.598,治れー,1,,
2659.769,草,1,,
2659.846,草,1,,
2659.954,草,1,,
2659.996,奈羅花やらしい…！？,1,,
2660.158,草,1,,
2660.311,言い方ｗｗ,1,,
2660.881,草,1,,
2661.939,エッッッッッッ,1,,
2662.152,おや？,1,,
2662.234,実際矢らしいし,1,,
2662.517,草,1,,
2662.583,わっはー,1,,
2662.689,草,1,,
2662.806,大丈夫？,1,,
2662.88,草,1,,
2663.095,なんやこれ最高や,1,,
2663.476,草,1,,
2663.499,草,1,,
2663.655,やめロッテ！,1,,
2663.658,草,1,,
2663.858,草,1,,
2664.469,草,1,,
2664.68,草,1,,
2664.813,草,1,,
2664.892,ふわっちはなんなんｗ,1,,
2664.908,ふわっちw？,1,,
2665.089,草,1,,
2665.211,ワッハー,1,,
2665.221,新人やるなあ,1,,
2665.242,草,1,,
2665.31,切り抜きあったな,1,,
2665.328,わっはー！,1,,
2665.415,ちょっとまずいか,1,,
2665.786,草,1,,
2666.788,草,1,,
2666.941,えっっっっ,1,,
2667.014,さわやかなのにw,1,,
2667.07,草,1,,
2667.555,草,1,,
2667.698,わちゃわちゃ,1,,
2667.822,草,1,,
2667.863,にけ,1,,
2667.922,草,1,,
2668.256,カオスやん,1,,
2668.61,草,1,,
2668.612,語弊がww,1,,
2668.638,わちゃわちゃw,1,,
2668.814,ひばの「やらしいんだあ！」,1,,
2668.919,草,1,,
2669.091,草,1,,
2669.433,草,1,,
2669.448,ふわっちw,1,,
2669.7,草,1,,
2670.947,にけつ,1,,
2671.271,ｲｲﾈｪ,1,,
2671.733,NIKKEｗ,1,,
2671.787,草,1,,
2672.665,やっぱそうなんだ！？,1,,
2673.548,ニケで草,1,,
2673.676,草,1,,
2673.693,に、け,1,,
2674.005,背中で語るｗ,1,,
2674.224,にけ,1,,
2674.67,にけ？,1,,
2674.914,に、け,1,,
2674.981,そっちには誰よりもいやらしい男がおるやろw,1,,
2675.563,ニケw,1,,
2675.614,突然放火されるの草,1,,
2675.842,ひまーw,1,,
2676.798,おかえり,1,,
2677.106,背中(尻),1,,
2677.163,おかえり～,1,,
2677.284,おかえり,1,,
2677.423,にゃらしい,1,,
2677.46,ニケやん,1,,
2677.748,ニケ！？,1,,
2677.75,草,1,,
2678.309,NARAKA,1,,
2678.502,NIKKEにならか参戦！？,1,,
2678.774,ニケw,1,,
2679.401,おかえり〜,1,,
2679.528,それはえっち,1,,
2679.842,よかった,1,,
2681.045,おかえりー,1,,
2681.073,おかえり,1,,
2681.166,NIKKEｗ,1,,
2681.333,草,1,,
2681.523,わちゃわちゃかわいい,1,,
2681.685,勝利の女神…！？,1,,
2681.742,おかえり,1,,
2681.771,にけw,1,,
2681.839,け、つ,1,,
2683.126,ニケ？,1,,
2684.157,おかー,1,,
2685.097,ちぃ,1,,
2685.173,奈羅花NIKKE実装マ？,1,,
2685.512,ケツでかたれ,1,,
2686.371,おかえり,1,,
2686.992,にじさんじコラボ！？,1,,
2686.996,ニケw,1,,
2687.2,おかえり,0,,
2687.651,but it is not very nice,0,,
2687.805,おかえり～大丈夫かな,0,,
2689.648,おかえり,0,,
2689.94,草,1,,
2690.362,おかえり,0,,
2690.462,おかえり,0,,
2690.702,すご,0,,
2690.822,おかえり,0,,
2692.555,おかえり,0,,
2692.752,背中…？,0,,
2693.283,スケベw,1,,
2693.835,おかえり,0,,
2694.663,もう意味わからんw,1,,
2695.147,ソルダム〜,0,,
2695.423,NIKKEコラボまったなしｗ,0,,
2695.606,スケベカメラ,0,,
2695.682,草,1,,
2695.785,おかえり,0,,
2695.95,こん,0,,
2697.742,言い方かさあw,1,,
2698.015,ソルダムだ,0,,
2698.176,ソルダムつよ,0,,
2698.254,草,1,,
2698.958,げこ,0,,
2699.261,すけべカメラ！？,0,,
2699.562,ランクたっか,0,,
2699.832,おかえり,0,,
2699.853,にゃらかのすけべやめろw,1,,
2699.971,葛葉おかえり,0,,
2700.614,にゃらかすけべ！？,1,,
2700.667,草,1,,
2701.308,バインドだー,0,,
2701.38,にゃらかのスケベカメラ！？,0,,
2701.7,草,1,,
2702.017,対よろ,0,,
2702.487,おかえり,0,,
2702.698,おかえり,0,,
2702.769,がんばれ～,0,,
2702.851,草,1,,
2703.151,zetaが勝ったバインドだあ,0,,
2703.293,にゃらサイファーうまいんだよなーw,1,,
2703.646,スケベカメラ楽しみだなｗ,1,,
2704.345,おかえりーー,0,,
2705.463,ヨルか,0,,
2705.7,草,1,,
2707.914,ソルダムw,1,,
2707.97,おかえり,0,,
2707.994,おかえりー,0,,
2708.923,おか〜,0,,
2709.459,ソルダムのスコアw,1,,
2710.299,ドスケベやめて？,1,,
2711.303,おかえり,0,,
2712.631,語弊が語弊をうんでいく,1,,
2714.852,一旦ソルダムの戦績をチェック,1,,
2715.254,ソルダム,1,,
2717.654,おねがいしましたｗｗ,1,,
2718.366,葛葉沈黙がち草,1,,
2718.901,おおーーハユンくんだ,1,,
2719.762,りりむ♡,1,,
2720.46,モク誰がやるん？ｗ,1,,
2720.75,おねがいしました〜,1,,
2720.909,めちゃくちゃ強そうだな,1,,
2721.501,俺がやる,1,,
2721.684,りりむとハユンくんきたー,1,,
2722.397,草,1,,
2722.584,スカイです,1,,
2723.738,したｗ,1,,
2724.091,指示草ｗ,1,,
2724.147,過去形ｗ,1,,
2724.489,it scares,1,,
2724.797,草,1,,
2725.174,草,1,,
2725.412,しましたww,1,,
2726.728,しましたw,1,,
2727.24,草,1,,
2727.898,チーム強くね？,1,,
2728.144,りりむ～,1,,
2729.199,おねがいしました〜,1,,
2729.235,草,1,,
2729.496,草,1,,
2729.542,過去形w,1,,
2730.365,ハユンだぁ(≧∇≦),1,,
2730.58,スカイだろうがよ,1,,
2731.487,草,1,,
2733.698,草,1,,
2733.817,w,1,,
2734.18,りりむーw,1,,
2734.429,いいむ♡,1,,
2735.121,草,1,,
2735.123,つよそーw,1,,
2735.157,草,1,,
2735.484,草,1,,
2735.731,草,1,,
2736.903,２デュエも流行ってるしｗ,1,,
2737.1,しましたーw,1,,
2737.373,いいむ,1,,
2738.628,また始まったｗ,1,,
2739.218,いいむだ,1,,
2739.344,りりむかわいいわ,1,,
2739.455,草,1,,
2739.459,一旦ソルダムの戦績,1,,
2739.496,Harbor please,1,,
2739.534,ハユンくん〜,1,,
2739.937,うるさい人だ,1,,
2740.671,草,1,,
2741.482,草,1,,
2744.14,ヨ、ル,1,,
2744.965,早速喧嘩で草,1,,
2745.185,りりむほんとにクロちゃんw,1,,
2745.875,草,1,,
2748.051,練習いいね,1,,
2748.501,ヨルヨルヨルヨルヨル,1,,
2748.684,いいむハユンきちゃ,1,,
2748.708,草,1,,
2749.27,草,1,,
2749.754,おw,1,,
2750.408,草,1,,
2750.627,うわあｗ,1,,
2750.645,いいねｗ,1,,
2751.262,いいむ〜,1,,
2751.236,おチェンさん！？ｗ,1,,
2751.322,ヨル！？,1,,
2751.414,まさかの！？,1,,
2752.88,兄妹げんか始まりました,1,,
2753.195,5でゅえ？ｗ,1,,
2753.316,うわ新鮮すぎるな,1,,
2753.352,終わった,1,,
2754.03,ぶっつけ本番？ｗ,1,,
2754.022,モクがいないｗｗ,1,,
2754.689,ナイスオーダーw,1,,
2754.774,いいむー,1,,
2755.12,練習いいね,1,,
2755.206,草,1,,
2756.385,いいね,1,,
2756.693,りりむかわいいね,1,,
2757.02,dep！？,1,,
2757.074,よりによってファーストタイムレイズｗ,1,,
2757.346,草,1,,
2757.591,モクなし？w,1,,
2758.367,5デュエ！？,1,,
2758.723,賑やかになってきたｗ,1,,
2759.17,レイズ使ってるの見たことない,1,,
2759.357,モクいねぇww,1,,
2759.652,おわってね,1,,
2759.741,草,1,,
2759.909,葛葉ライズ！？,1,,
2760.021,責任を分かち合うと,1,,
2760.603,えー、モクいないです,1,,
2761.201,草,1,,
2761.881,葛葉レイズうおおおおお,1,,
2762.447,草,1,,
2763.11,どんなメンツでも面白すぎて草,1,,
2763.245,レイズきた！！,1,,
2763.339,草,1,,
2763.437,ハユン〜,1,,
2764.526,バトルオーメン,1,,
2765.477,草,1,,
2765.701,草,1,,
2766.911,いいじゃんいいじゃんw,1,,
2767.017,まずいかw,1,,
2767.19,まじ？！,1,,
2767.214,わちゃわちゃで草,1,,
2767.563,ww,1,,
2767.574,草,1,,
2767.82,草,1,,
2767.839,草,1,,
2768.042,モクやばいな,1,,
2768.713,グチャグチャw,1,,
2769.046,草,1,,
2769.207,地獄すぎる,1,,
2769.207,尖りすぎw,1,,
2769.3,終わってるよｗ,1,,
2770.754,草,1,,
2771.258,バトルオーメンw,1,,
2771.666,草,1,,
2772.921,賑やかすぎる,1,,
2772.917,でたバトルオーメンw,1,,
2773.554,わちゃわちゃすぎww,1,,
2773.711,オーメンする？久々に,1,,
2773.742,スカイでは？,1,,
2774.648,草,1,,
2776.203,ｗ,1,,
2776.285,草,1,,
2776.424,草,1,,
2776.642,草,1,,
2776.66,わちゃわちゃw,1,,
2777.016,？？,1,,
2777.086,落ち着かないなこのメンツw,1,,
2777.62,わちゃわちゃw,1,,
2777.645,草,1,,
2777.751,草,1,,
2777.885,奥ｗｗ,1,,
2779.196,わちゃw,1,,
2779.179,まとまらないww,1,,
2779.245,わちゃわちゃ,1,,
2779.35,わちゃわちゃ,1,,
2779.75,草,1,,
2780.297,わーわー,1,,
2781.336,草,1,,
2781.611,決まらねえw,1,,
2781.662,草,1,,
2783.477,ふわっち焦るなw,1,,
2783.691,草,1,,
2783.704,w,1,,
2785.173,スカイ～！,1,,
2785.198,オクタン！？,1,,
2786.215,バトルほんま草,1,,
2786.456,草,1,,
2786.581,戸惑いすぎw,1,,
2787.053,おお,1,,
2787.198,きたあｗ,1,,
2787.397,ww,1,,
2787.453,草,1,,
2787.477,ゲッコーw,1,,
2787.587,草,1,,
2788.933,お,1,,
2789.09,お,1,,
2789.243,わちゃ,1,,
2789.315,奥いくわ？,1,,
2789.316,草,1,,
2789.467,ゲッコーきちゃ,1,,
2789.476,本人！？,1,,
2789.878,ダチョウ倶楽部w,1,,
2789.943,お、お、お、お、,1,,
2790.375,本人きたああああああ,1,,
2791.302,本人来ちゃ！w,1,,
2791.306,ゲッコーうおおおおお,1,,
2791.462,きたあ,1,,
2791.622,おお,1,,
2791.839,わっちゃりうぇい,1,,
2792.778,本人！？,1,,
2792.802,本人きたああ,1,,
2793.022,うおおおおおお,1,,
2793.025,本人！？,1,,
2794.302,うおおおおお,1,,
2794.419,わちゃりて！,1,,
2794.416,わっちゃりうぇーい,1,,
2794.581,うおおおお,1,,
2794.806,わっちゃり！？,1,,
2794.92,ゲッコーきたああああ,1,,
2794.925,わっちゃりうぇーいきた！,1,,
2795.074,本物や！,1,,
2795.131,おおおおお,1,,
2795.27,uおおおおおおおお！！！！！,1,,
2795.294,VC葛葉？！,1,,
2795.307,わーわー,1,,
2795.348,本人きちやあああああああ,1,,
2795.377,草,1,,
2795.397,葛葉が葛葉使ってる,1,,
2795.417,本人うおおおおおおおお,1,,
2795.506,うおおおおおお,1,,
2795.543,ゲッコーきちゃー！！,1,,
2795.617,ゲッコー！！きちゃあ！,1,,
2795.673,草,1,,
2795.764,わっちゃわっちゃ,1,,
2795.764,わっちゃりうぇーーーい,1,,
2795.795,きちゃ,1,,
2795.819,本人きたあああああああ,1,,
2796.543,葛葉きちゃ,1,,
2796.802,きたー！,1,,
2796.892,本人！？,1,,
2796.896,わちゃわちゃ,1,,
2796.91,わっちゃりうぇーい！,1,,
2797.006,わっちゃりうぇいw,1,,
2797.04,落ち着けw,1,,
2797.09,葛葉や,1,,
2797.152,わっちゃりうぇ〜い,1,,
2797.162,うおおおあおおおお,1,,
2797.248,キター,1,,
2797.254,本物きた,1,,
2797.339,ゲッコーきちゃあああああ,1,,
2797.413,本物だあああ,1,,
2797.741,声が似てると噂の,1,,
2798.273,ゲッコーうおおおおおおお,1,,
2799.05,うおおおおおおおお,1,,
2799.192,ゲッコー本人きた,1,,
2799.459,ゲッコー！！,1,,
2799.724,本人！？,1,,
2799.763,わっちゃりうぇーい,1,,
2799.792,本人きた,1,,
2799.835,葛葉きたー,1,,
2799.865,本人来た,1,,
2799.872,え！！！！,1,,
2800.762,げこw,1,,
2800.842,お,1,,
2800.988,きたたあああああ,1,,
2801.194,おおお！？,1,,
2801.247,草,1,,
2801.323,りりむキャリーってマジ？,1,,
2801.436,本人だ！！！！！,1,,
2801.726,ゲッコーきちゃ！,1,,
2802.552,お？？,1,,
2803.101,面白いな,1,,
2803.417,うおおお,1,,
2803.509,わっちゃりうぇ～い,1,,
2803.544,ひっそりいたｗ,1,,
2803.707,本人きちゃ！,1,,
2803.722,本人きたー！,1,,
2804.584,うおおおお,1,,
2804.703,草,1,,
2804.723,わっちゃりうぇい,1,,
2805.039,草,1,,
2805.347,本人きたｗ,1,,
2805.482,しれっとチェンバーいるんだよね,1,,
2805.727,しれっと,1,,
2805.879,あ,1,,
2806.47,草,1,,
2806.484,ハユン君ｗ,1,,
2807.141,草,1,,
2807.272,おお～,1,,
2807.725,本人きた,1,,
2807.985,いいねｗ,1,,
2808.213,チェンさん！？,1,,
2808.217,使ってみようの精神w,1,,
2808.403,草,1,,
2808.484,草,1,,
2808.56,草,1,,
2808.638,うおおお,1,,
2808.732,本人！？,1,,
2809.241,草,1,,
2809.288,きちゃー！！,1,,
