時間,コメント,ラベル,,,,
2732.676,リーダー頼りになる〜,0,,,,
2733.742,なんだこの構成！？,0,,,,
2735.587,ナイスすぎる,0,,,,
2736.416,コールめっちゃ良い,0,,,,
2736.757,キープ？,0,,,,
2739.241,最高のカバーだった,0,,,,
2740.106,水無瀬さんのフィジカルが光るね,0,,,,
2741.068,カルビエースあるくね？,0,,,,
2741.7,水無瀬カバーめっちゃ相性よさそうやな,0,,,,
2743.418,ああ　ありがとうございます!,0,,,,
2743.492,どのマップでも葛葉水無瀬セットで動いてる時が一番良い,0,,,,
2743.948,いいね〜,0,,,,
2745.774,リーダーなんだよね,0,,,,
2748.478,IGLわけっこできたから水無瀬くんも楽に撃ち合えてるね,0,,,,
2750.043,ガンガン行く方がやっぱりつえーよこのチーム,0,,,,
2750.053,いいぞいいぞー！,0,,,,
2751.125,葛葉が声出したほうがリーダーもフィジ出るね,0,,,,
2753.867,ねいす,0,,,,
2756.663,そうなのよ、撃ちあい負けないんよ。皆自身もっていける！,0,,,,
2756.913,がんばってください！,0,,,,
2757.813,ナイスカバーナイスチーム,0,,,,
2758.891,ナイス連携,0,,,,
2759.136,水無瀬の真の実力,0,,,,
2760.036,ナイスゥ～,0,,,,
2761.636,なぁーいす！,0,,,,
2761.94,りーだーなんだよ！,0,,,,
2762.272,ナイスナイスナイス,0,,,,
2762.462,ナイスチームワーク,0,,,,
2762.579,ナイスウウ,0,,,,
2765.791,ナイスう！,0,,,,
2767.185,情報とりいいね,0,,,,
2769.117,いい感じやん,0,,,,
2769.27,わけっこいいー！,0,,,,
2770.569,ナイスぅ,0,,,,
2772.161,みんないいぞー！,0,,,,
2772.574,リーダーが一番光れる環境かも！めっちゃいい！,0,,,,
2774.194,ガンガン行くのめっちゃいい！,0,,,,
2774.275,ええやないか！ええやないか！,0,,,,
2777.14,水無瀬さんも生きる！,0,,,,
2777.921,んｃ,0,,,,
2778.38,いいよお,0,,,,
2781.467,ナイストライ,0,,,,
2781.75,リーダーのフィジが光ってる！,0,,,,
2781.951,さすがにｂ厚くせんのかなｗ,0,,,,
2782.022,強いぞ！頑張れ！,0,,,,
2783.43,打ち負けないならこれでええやないかい！,0,,,,
2783.509,がんばがばー！,0,,,,
2783.828,がんばれ!,0,,,,
2787.035,ぴずるのパースが埋まったか？,0,,,,
2788.35,こういうめちゃくちゃな構成で荒らすのがいいんだろうな,0,,,,
2789.101,二人で背負い合おう,0,,,,
2789.564,葛葉を檻から出せたのがでかいな,0,,,,
2790.351,ノリにのったら最強なんだから！ファイト！,0,,,,
2790.773,かっこいいね〜,0,,,,
2791.801,良い報告だ,0,,,,
2796.408,みんないいねぇ,0,,,,
2797.29,落ち着いててええです,0,,,,
2797.887,いぬ,0,,,,
2799.61,がんばれ！勝ってくれ！,0,,,,
2800.603,行けるぞ!,0,,,,
2803.964,水無瀬さん考えること少なくなってフィジえぐいことなってない？w,0,,,,
2804.501,野良リーダーと葛葉セット生存率上がる,0,,,,
2805.798,いっけるー！,0,,,,
2808.051,きいねぇ,0,,,,
2808.209,いろんな編成みれんのおもろいしヨルまじでいいな,0,,,,
2809.333,無理に全部やろうとするのはめっちゃいいけどこういう尖り切った勢いもやっぱええのぉ,0,,,,
2815.675,頑張れ頑張れ！,0,,,,
2833.883,がんばえがんばえ！,0,,,,
2837.592,すごい今日はコメがついたり消えたりしてる,0,,,,
2839.24,いけるよー,0,,,,
2848,残り50秒,0,,,,
2848.576,負けてても元気ならいい！それが難しいけど,0,,,,
2849.673,判断が早い！,1,,,,
2851.317,いいねー！,1,,,,
2853.093,いいやんいいやんｗ,1,,,,
2853.152,コールいいねぇ,1,,,,
2853.793,いいねがんばれ！,1,,,,
2854.156,いい報告,1,,,,
2857.028,あたまでかい,1,,,,
2857.357,おもろくなってきたよー,1,,,,
2857.479,孔明おるて,1,,,,
2857.631,名探偵？,1,,,,
2858.176,いいぞいいぞー！,1,,,,
2859.664,脳みそ回ってんなぁ,1,,,,
2860.711,頭よ,1,,,,
2861.954,判断が速い！,1,,,,
2861.894,ふぁいとだ,1,,,,
2863.522,いいよ判断早いよー,1,,,,
2863.978,いけーいけー,1,,,,
2864.416,いいコール！,1,,,,
2868.526,めんたんてん,1,,,,
2872.637,声出てかっけーよくずは,1,,,,
2876.313,いい,1,,,,
2876.425,えげつねぇ,0,,,,
2878.235,ナイスっぅ,0,,,3342,
2880.733,いいよー,0,,,,
2881.461,ヨルがうめぇ,0,,,,
2881.569,今来たのですが敵チームどこですか？,0,,,,
2883.034,ナイスすぎ,0,,,,
2884.262,やった,0,,,,
2885.131,ドリフトきたｗ,0,,,,
2885.165,フラッシュの数えぐｗ,0,,,,
2886.34,その読みやばすぎる,0,,,,
2887.226,いいぞいいぞ！,0,,,,
2888.499,あーこれ正解か？,0,,,,
2888.888,ヨル研究家が出てる,0,,,,
2889.556,いいよー！,0,,,,
2889.518,みなせさんｙばい,0,,,,
2889.973,声出し良すぎや,0,,,,
2890.378,葛葉コールナイスすぎる,0,,,,
2891.973,自分の中で情報口に出しながら整理してくのIGLとして完璧だろ,0,,,,
2892.569,コールいいよー,0,,,,
2892.572,天才じゃん,0,,,,
2892.723,IGL葛葉でいいなこれ,0,,,,
2894.108,脳みそデカすぎだろ,0,,,,
2894.185,ダブルIGL強いな,0,,,,
2894.277,ナイスコールすぎる,0,,,,
2894.365,これはヨル！,0,,,,
2894.399,サイト入り完璧,0,,,,
2895.175,あたまでかい？もしかして,0,,,,
2895.29,ろれ,0,,,,
2895.375,相手はローレンチーム,0,,,,
2895.75,良いコール,0,,,,
2896.557,いいよー！,0,,,,
2897.105,輝いてるよ！,0,,,,
2897.531,コール神過ぎないか…？,0,,,,
2897.651,葛葉iglめっちゃいいじゃん,0,,,,
2897.719,IGL向きか,0,,,,
2897.864,相手ローレンチーム,0,,,,
2897.936,アビリティカウント出来てるの地味にすげーな,0,,,,
2899.973,ローレンチームだよー,0,,,,
2901.337,ローレンチームです,0,,,,
2901.993,ヨル本人やん,0,,,,
2902.139,まじで視野広いあなた,0,,,,
2902.477,天才？,0,,,,
2902.837,がんばがんばがんば！,0,,,,
2903.756,コール良くなったな,0,,,,
2904.127,コールがいい；,0,,,,
2904.546,コール神すぎんか,0,,,,
2906.493,フィジカル勝負になる時点で考えてプレイできてる証拠！,0,,,,
2906.63,声出し天才すぎる,0,,,,
2907.222,なんなん君、見てて気持ちいね,0,,,,
2907.39,活き活きしとる,0,,,,
2907.488,ズハiglいい,0,,,,
2908.146,ヨル研究科さん！？,0,,,,
2908.532,すーげえ！,0,,,,
2910.102,ダブルIGLでええやん,0,,,,
2910.128,ナイスコール,0,,,,
2911.467,かっこいいよー！,0,,,,
2912.013,声がいきいき,0,,,,
2912.564,頭デカすぎだ,0,,,,
2913.411,いきいきしてるな,0,,,,
2913.876,スキル管理と戦術判断がよいー！,0,,,,
2914.313,頭でかいかもです,0,,,,
2915.128,ないすすぎ,0,,,,
2915.787,葛葉かっこいいぞ,0,,,,
2915.866,そこおったんやｗ,0,,,,
2915.953,水無瀬さんスカイも神や,0,,,,
2916.221,頭の回転の速さが神,0,,,,
2917.84,頭めっちゃ回転してるやん,0,,,,
2917.925,展開が今までの比じゃねえ,0,,,,
2919.419,iglいいかんじ,0,,,,
2919.385,ふぁみりー,0,,,,
2919.584,水無瀬のカバー助かりすぎ,0,,,,
2920.884,ナイスコール,0,,,,
2921.013,全体のコールが良くなったね,0,,,,
2921.118,ずはさんが背負ったな,0,,,,
2921.673,ファミリー,0,,,,
2922.773,うわぁ,0,,,,
2923.074,ファミリーないす！,0,,,,
2923.163,IGLいいねぇ,0,,,,
2923.516,全員いきいきしておる,0,,,,
2923.859,天才だよ葛葉,0,,,,
2923.836,狩りたいな,0,,,,
2924.477,イキイキしとる,0,,,,
2925.643,ヨルの顔してる,0,,,,
2925.755,アビリティ管理まじで良いね,0,,,,
2926.209,いいすね～,0,,,,
2927.374,ファミリー,0,,,,
2927.667,ふぁみりぃ,0,,,,
2927.675,ヨルかっけえな,0,,,,
2927.744,ふぁまらい,0,,,,
2927.886,頭でかいやん；,0,,,,
2929.769,かっこよすぎる,0,,,,
2930.228,すぎょいすぎょい,0,,,,
2930.253,みんないきいきしてて最高だ,0,,,,
2930.295,ファミリー,0,,,,
2930.363,ダブルIGLありやね,0,,,,
2931.333,モデ昨日も夜遅くまで頑張ってくれたしありがたいね,0,,,,
2931.595,いいよいいよ,0,,,,
2931.638,強い！,0,,,,
2933.249,良過ぎて泣ける,0,,,,
2933.625,いいよいいよー,0,,,,
2933.556,美味い,0,,,,
2933.96,やっぱり葛葉喋ると雰囲気いーや,0,,,,
2935.997,ナイス連携だ,0,,,,
2936.176,めっちゃいいよ～！,0,,,,
2936.43,いいよいいよーー！,0,,,,
2936.943,めっちゃええやん！,0,,,,
2937.056,てぃむは一緒がいい,0,,,,
2937.503,めっちゃいい！,0,,,,
2937.886,ナイスチームです…！,0,,,,
2938.267,これや,0,,,,
2938.288,チーム良い感じ！,0,,,,
2939.889,めっちゃ強い！,0,,,,
2940.387,ないすてぃむ！,0,,,,
2941.323,強いね,0,,,,
2942.496,ナイスコール！,0,,,,
2942.856,頭でっける係数！,0,,,,
2943.09,いいやん,0,,,,
2943.232,最後のピースはヨル,0,,,,
2944.643,ヨル喜んどる,0,,,,
2944.697,蜻蛉ファミリーいいよー！,0,,,,
2945.184,読み完璧,0,,,,
2945.724,声出てていいよー！,0,,,,
2945.931,ポテンシャル出てるぞ～！,0,,,,
2946.283,どっちいくｗ,0,,,,
2946.999,いい感じ！,0,,,,
2947.689,やはりヨル…,0,,,,
2947.93,ちょーーいい,0,,,,
2948.203,ヨル他チームいないだろうしなｗｗ,0,,,,
2948.353,わからん殺し,0,,,,
2949.357,決断力を話し合いでカバーしてるのいいね,0,,,,
2949.505,圧倒的にコールがさっきまでと違う！,0,,,,
2949.817,今来ました。1戦目ですか？,0,,,,
2949.891,強いんだなぁ…（驚,0,,,,
2949.955,ヨルなんていねえよ,0,,,,
2950.289,刺さってる,0,,,,
2950.486,かるびがたのしそうでなにより,0,,,,
2950.616,ナイスチームよ,0,,,,
2950.638,ぐちゃぐちゃにしてけぇ,0,,,,
2951.337,葛葉さんIGL良い調子,0,,,,
2951.579,葛葉の脳味噌刺さってるねぇ！,0,,,,
2951.918,提案葛葉サポート水無瀬が最強か？,0,,,,
2952.222,擦れるかな？,0,,,,
2952.148,ヨルでイキイキしてる葛葉いいねw,0,,,,
2952.574,みっちー戸惑ってるよ,0,,,,
2953.486,ヨ、ルと言われるだけあるか,0,,,,
2953.596,初見殺しや！,0,,,,
2954.261,めっちゃハマってる,0,,,,
2954.401,ヨルが刺さってる,0,,,,
2956.123,ヨルに惑わされてそうやね,0,,,,
2956.502,ファミリー,0,,,,
2957.626,あえるか,0,,,,
2958.612,声でてていいよね！,0,,,,
2959.391,やはりヨルだったのか,0,,,,
2960.147,うまくヨルささってる,0,,,,
2960.47,のけものじゃなかったんだ,0,,,,
2961.1,ラプ様やめてw,0,,,,
2961.936,光るマップでは光る,0,,,,
2962.121,空気美味いぞ,0,,,,
2962.207,声出てるの本当良い,0,,,,
2962.262,ラプ様ｗ,0,,,,
2962.627,まじで毎日最協更新してる,0,,,,
2963.686,正解はヨルだったか,0,,,,
2963.754,あえは怖いな,0,,,,
2964.529,ないすこーる,0,,,,
2965.334,荒らしチームだぜこれw,0,,,,
2966.559,これがティムか…,0,,,,
2966.773,1日で対策出来ることはないのよ,0,,,,
2969.193,やはりフィードorキャリー,0,,,,
2970.402,前プロだったから通じなかったかもな,0,,,,
2970.997,ダブルIGLいいぞ、水瀬だいぶ余裕できてる,0,,,,
2971.3,ｂ流石に厚くしたくなるってｗ,0,,,,
2971.391,潔世一になれ,0,,,,
2971.766,コーチも言う事無くなって腕組み出来てるぞ,0,,,,
2973.041,これぞ最協だよ,0,,,,
2973.295,このチームのいいとこでてるんじゃないか？,0,,,,
2973.284,ヨルはそりゃそうかｗｗ,0,,,,
2973.957,デュエIGLは脳でかい,0,,,,
2975.395,かるびのリードもしっかり握る,0,,,,
2975.83,ヨル今頃ドヤ顔してるよ,0,,,,
2977.563,ヨル刺さってんの草なんだ,0,,,,
2981.533,俺にはストファイで口ぷきてる葛葉と今のチームの戦い方が重なって見える,0,,,,
2981.665,1戦目どうでした？,0,,,,
2984.627,めっちゃいたー,0,,,,
2988.39,おしかった,0,,,,
2988.559,前歯,0,,,,
2990.916,いや～おしい！どまどま！,0,,,,
2991.468,ドンマイドンマイ,0,,,,
2992.367,どまよ！,0,,,,
2992.529,おしいおしい,0,,,,
2994.478,無言だったおしい,0,,,,
2994.663,どまです,0,,,,
2995.372,フラッシュ入れたかったな,0,,,,
2996.037,エイムがどっかいったｗ,0,,,,
2996.395,いけそうだったー！,0,,,,
3000.607,おっしい！,0,,,,
3001.622,マジでどまやああ,0,,,,
3002.615,惜しかった,0,,,,
3003.337,これは惜しすぎる,0,,,,
3003.384,落ち着いて,0,,,,
3003.434,めっちゃおいしいとこいってたね！,0,,,,
3003.775,今のは相手がうまい,0,,,,
3003.808,どんまいｗｗ,0,,,,
3003.807,おしいおしい！,0,,,,
3004.395,どんまい！,0,,,,
3005.478,ないすとらい,0,,,,
3006.214,ナイストライよ,0,,,,
3006.237,ここは慣れ,0,,,,
3007.873,どんまい,0,,,,
3007.966,おしかったぁぁ,0,,,,
3008.049,大丈夫！,0,,,,
3008.47,どまどま！大丈夫！,0,,,,
3010.334,ミスったけど全然だいじょうぶ！,0,,,,
3010.908,ロマンあるなー,0,,,,
3012.627,フラッシュ撃ちたかったねぇ,0,,,,
3014.962,悪くないよ〜！,0,,,,
3016.011,ゆーばっとやな,0,,,,
3016.287,どんまい！,0,,,,
3017.166,狙いはよかった,0,,,,
3017.138,切り替えなんだ！,0,,,,
3017.768,ヨルはそういうキャラだから！,0,,,,
3018.147,かるびいける,0,,,,
3019.249,選手やったれ,0,,,,
3019.847,かるびなんか起こせ,0,,,,
3020.632,一攫千金失敗,0,,,,
3021.293,作戦は良かった,0,,,,
3021.471,びっさんファイト,0,,,,
3021.827,やれる！,0,,,,
3022.018,おねがいします！,0,,,,
3022.123,選手がんばれ,0,,,,
3022.328,タイミング合わせれば悪くなかったと思う,0,,,,
3022.569,やっちまえー,0,,,,
3022.682,フィジで破壊してくれ,0,,,,
3024.068,どむ,0,,,,
3024.599,選手ーー,0,,,,
3025.122,えらい,0,,,,
3025.833,選手頼む,0,,,,
3026.028,いいよｗ,0,,,,
3026.207,どんまい！,0,,,,
3026.295,謝るのノイズよー,0,,,,
3026.527,それいいぞ,0,,,,
3028.439,やっぱ考えながらはきついってのがわかるな！,0,,,,
3028.932,いいぞおお,0,,,,
3029.385,いいかんじ！,0,,,,
3029.643,アドを稼いでいく！,0,,,,
3029.903,見せ所なんだぞー！,0,,,,
3030.045,クラッチ頼む,0,,,,
3030.447,ナイスナイスw,0,,,,
3030.526,おみやげもらってこｗ,0,,,,
3030.554,いいねww,0,,,,
3031.252,かせげー！,0,,,,
3031.984,デスマスタート,0,,,,
3032.345,お土産お土産！w,0,,,,
3032.3,ただでは死なないぞっｗ,0,,,,
3032.873,オーブぱくぱく,0,,,,
3033.22,やれ！,0,,,,
3033.386,おみやげww,0,,,,
3034.254,かるびのおつかい,0,,,,
3034.462,おみやげいいぞ！,0,,,,
3034.553,かるび〜！,0,,,,
3035.011,挟みのタイミングが合ってたら全然勝てたな,0,,,,
3036.129,冥土の土産な,0,,,,
3036.262,いいねいいねｗ,0,,,,
3036.335,ナイスおみやげ,0,,,,
3037.975,お土産かかえてくる姫,0,,,,
3039.865,お土産かわいいw,0,,,,
3040.324,かるび頑張れ！,0,,,,
3040.478,かるびの１００みたい,0,,,,
3041.27,やったっていい,0,,,,
3041.605,カルビちゃんがんばれ！,0,,,,
3041.733,かるび選手いいねｗ,0,,,,
3043.14,おみやげないすw,0,,,,
3045.16,おみやげの玉,0,,,,
3050.157,えらいかるび,0,,,,
3052.533,ないとらよ！,0,,,,
3052.934,ナイス姫,0,,,,
3053.37,いいよいいよ,0,,,,
3053.55,どまよ！,0,,,,
3054.036,ナイスよナイスよ,0,,,,
3055.683,次の話しよ,0,,,,
3056.244,お土産ナイス！,0,,,,
3058.671,全然おけ,0,,,,
3060.111,いいよいいよ,0,,,,
3060.355,いろはすシェリフこえー,0,,,,
3063.064,ないとら!,0,,,,
3063.372,エイムはいい選手,0,,,,
3063.471,ナイスアド！,0,,,,
3063.497,個人技じゃなくて合わせてもらえよ〜,0,,,,
3063.674,処された笑笑,0,,,,
3063.959,めっちゃ冷静！,0,,,,
3064.095,姫のいいとこでてたー,0,,,,
3064.193,あれ撃たないの偉いな,0,,,,
3064.375,誰か1戦目教えて欲しいです！,0,,,,
3065.959,かるび偉い,0,,,,
3066.03,そだね,0,,,,
3069.156,相手エコか？,0,,,,
3069.53,全然刺さってる,0,,,,
3070.082,解除前に言うべきだったか,0,,,,
3071.07,勝てる！,0,,,,
3071.207,こっちもまだヨル慣れしてないな,0,,,,
3071.398,刺さりそうな感じはあった,0,,,,
3071.456,空気もいいな,0,,,,
3071.655,強気でいきましょー！,0,,,,
3072.946,みんな生き生きしてきた,0,,,,
3073.063,雰囲気ナイスよ,0,,,,
3073.69,ナイストライだよー,0,,,,
3074.173,ないす情報,0,,,,
3075.116,わるくないよー！,0,,,,
3075.633,おもしろかった,0,,,,
3076.602,ヨルとソーヴァのウルト合わせが見たくなる,0,,,,
3077.85,次繋げよう,0,,,,
3078.123,あえるな定期,0,,,,
3078.353,コーチの復習めっちゃいい！,0,,,,
3079.686,いい学び,0,,,,
3079.89,いけるよ,0,,,,
3082.305,2人なのが伝わってなかったか,0,,,,
3082.982,ファイト！,0,,,,
3083.075,まじもうちょい早く喋るだけで勝ててた！もっとガンガン喋ろ！,0,,,,
3083.617,まじでヨル強いんじゃないかとおもっちゃう,0,,,,
3085.099,っぱこのチームは声とテンションよ,0,,,,
3085.467,いけるんぞ！,0,,,,
3086.232,メイン開けてシャワー死守か,0,,,,
3086.772,学びよ,0,,,,
3089.438,ナイストライや,0,,,,
3090.62,雰囲気いい！,0,,,,
3091.452,イキイキしてる時のチーム強いぞ,0,,,,
3091.616,やなモクｗ,0,,,,
3092.589,たのしくなってきたーー,0,,,,
3092.907,ふぁいと〜！,0,,,,
3094.155,空気うまくて楽しいな,0,,,,
3097.565,みんな生き生きしよー！,0,,,,
3099.453,かるびは同じレイナやから頭パンクしないで済んでるのかも,0,,,,
3100.086,皆様ファイトです…！,0,,,,
3104.946,ファイト,0,,,,
3105.097,ナイス水無瀬,0,,,,
3108.651,ナイスゥ～,0,,,,
3110.329,水無瀬さんさすがｗｗ,0,,,,
3112.033,ナイカバ,0,,,,
3113.709,え？こわ,0,,,,
3114.149,うまい!,0,,,,
3114.327,勝つぅ,0,,,,
3114.816,水無瀬好きになっちまうよ,0,,,,
3118.411,水無瀬さんスカイいいね,0,,,,
3119.044,連携いいなぁ,0,,,,
3119.118,相手なんでピークしてくるの？w,0,,,,
3123.529,つよい！,0,,,,
3124.218,いいアンブラ,0,,,,
3128.02,おしいー！,0,,,,
3128.437,あぼぉ,0,,,,
3128.479,うわぁいるんだ,0,,,,
3129.239,うぁぁ,0,,,,
3130.241,わー,0,,,,
3132.557,うあどま,0,,,,
3132.635,ドンマイドンマイ,0,,,,
3134.195,くぅぅ～！どま,0,,,,
3134.996,どんまい！,0,,,,
3135.229,大丈夫や！,0,,,,
3135.476,えびおー！,0,,,,
3135.714,どんまい！,0,,,,
3135.913,あちゃ,0,,,,
3137.007,どーま！,0,,,,
3140.317,どまです,0,,,,
3140.372,落ち着け〜,0,,,,
3142.101,きゅぴさんがんばれ,0,,,,
3143.704,コール出来りゃいい,0,,,,
3144.564,さすがに許してくれないか,0,,,,
3146.33,どまよ,0,,,,
3146.43,いけるよ,0,,,,
3150.759,きゅぴち〜！,0,,,,
3154.14,流石に寄ってるか,0,,,,
3155.304,どまです！,0,,,,
3158.628,きゅぴちゃんふぁいと〜,0,,,,
3158.782,本人理解してるから良し,0,,,,
3160.792,リーア絶対一個しか使わないの勿体ない,0,,,,
3164.799,あざす,0,,,,
3166.149,焦らずにゆっくりで大丈夫よー！,0,,,,
3166.204,細かいところのミス減らせたら全然勝てそうなんだけどな,0,,,,
3169.205,次に生かすんや！,0,,,,
3169.669,うおお！？,0,,,,
3174.555,tpしたら1v3ではあったか,0,,,,
3176.477,nt w,0,,,,
3176.585,粗熱,0,,,,
3176.556,なげえな,0,,,,
3177.639,いいよいいよ,0,,,,
3180.295,腐った,0,,,,
3182.44,どんまいどんまい,0,,,,
3183.05,今知れたからワース,0,,,,
3183.636,学びだ,0,,,,
3183.962,あのモク嫌すぎｗ,0,,,,
3184.356,ないとらないとら！,0,,,,
3185.214,惜しい nt,0,,,,
3185.806,長いことを知った,0,,,,
3186.644,いたかった！どんまーい！,0,,,,
3188.245,漢を感じた,0,,,,
3188.533,いけるいける！,0,,,,
3190.396,まなび,0,,,,
3190.545,しゃーない！,0,,,,
3190.848,次への学びということで,0,,,,
3191.356,あえてのB,0,,,,
3193.624,結構長いのよねウルト,0,,,,
3194.476,信じて,0,,,,
3195.201,みえてる！,0,,,,
3195.745,しゃーないしゃーない,0,,,,
3196.065,まなび,0,,,,
3196.439,かわいいから〇,0,,,,
3196.59,ドッキリいいやん,0,,,,
3198.049,学び！,0,,,,
3198.197,学びなんだよー！、,0,,,,
3198.459,学びよ,0,,,,
3199.165,さっきより動きある！,0,,,,
3200.28,それは死ぬわｗ,0,,,,
3201.016,今知ったのアドよ,0,,,,
3201.621,漢だ,0,,,,
3201.862,学べたかアド,0,,,,
3202.347,まあまあ長いよねｗ,0,,,,
3202.507,いっけー！,0,,,,
3206.484,めっちゃがんばっとるー！かっこいいぞみんな！,0,,,,
3206.633,強い,0,,,,
3207.42,学びを得た,0,,,,
3207.814,何度だってやろう,0,,,,
3208.205,楽しそうで草,0,,,,
3208.496,検証検証,0,,,,
3209.049,ふぁいてぃーん!,0,,,,
3210.462,学べたからヨシ,0,,,,
3212.133,ここ堪えどころか,0,,,,
3212.162,圧にくっしない！,0,,,,
3212.479,屈しない！れちご！,0,,,,
3212.656,勝ってるしな,0,,,,
3214.878,プレッシャー跳ね返せ～！,0,,,,
3216.315,強気なギャル好こ,0,,,,
3218.302,この辺で一回水無瀬さんIGLとか？,0,,,,
3225.559,うまーーい,1,,,,
3226.276,つよすぎ！,1,,,,
3226.911,つえーーｗ,1,,,,
3228.042,ナイカバ,1,,,,
3228.261,わああおお,1,,,,
3229.986,つよい！,1,,,,
3232.189,うわないす！,1,,,,
3235.08,うめえーー！,1,,,,
3235.418,わぁお,1,,,,
3237.944,つーよｗ,1,,,,
3238.239,天才すぎる,1,,,,
3239.859,がんばれ〜ないすう！,1,,,,
3240.136,ないすないす,1,,,,
3240.441,うますぎです,1,,,,
3241.237,いい！,1,,,,
3242.079,おお強すぎい,1,,,,
3243.391,すんごい,1,,,,
3243.374,IGL失敗しても自信満々に行こ！,1,,,,
3243.932,いいじゃん！,1,,,,
3243.968,きたきたきたきた,1,,,,
3244.042,フィジ,1,,,,
3244.003,いいじゃん,1,,,,
3244.169,神連携！,1,,,,
3244.221,葛葉ウルト溜まってたぞw,1,,,,
3244.33,粉砕してて草,1,,,,
3244.627,勝てんのよ！勝てんのよ！勝てんのよ！,1,,,,
3245.466,つよｗｗ,1,,,,
3245.736,フィジカルがなんだって？,1,,,,
3246.777,今の凄いな,1,,,,
3247.854,なんだいまの！？,1,,,,
3248.327,まあ当たり屋だけどもｗ,1,,,,
3248.37,当たり屋いいぞー！,1,,,,
3248.431,それでええねん,1,,,,
3248.461,ティムいいやん！,1,,,,
3248.541,よりはやいねー,1,,,,
3249.42,それでええんや,1,,,,
3249.536,あなたが強いだけ,1,,,,
3249.61,いいこと！,1,,,,
3249.756,うま！ないす,1,,,,
3250.088,フィジ強いんだから！,1,,,,
3250.597,フィジでも勝てるｗ,1,,,,
3250.908,ナイスよー,1,,,,
3250.969,つよすぎ,1,,,,
3251.522,大事だよ,1,,,,
3252.006,フィジでも負けてねえぞ！,1,,,,
3252.307,それができれば全部おｋｗ,1,,,,
3252.33,シンプル打ち合いで勝っただけｗ,1,,,,
3254.297,かるびとくずはが上手く補完し合えると火力えぐいな,1,,,,
3254.353,それでええんやｗ,1,,,,
3254.411,フィジで破壊よ！,1,,,,
3255.366,葛葉水無瀬かるびの圧えぐいなw,1,,,,
3256.239,かちゃええねん！,1,,,,
3256.388,強いね,1,,,,
3256.435,それでいい,1,,,,
3256.469,こっちも人数かけてるからええんよ,1,,,,
3256.686,つよい！,1,,,,
3256.915,勝ちゃええねん,1,,,,
3257.596,それもアリw,1,,,,
3257.855,シンプル強い,1,,,,
3258.452,屈しないイイゾ～,1,,,,
3258.62,作戦の提案めっちゃいいやんｗ,1,,,,
3259.893,フィジカルでぶっ壊せ,1,,,,
3261.549,みんな強いのよ、負けないんよ！,1,,,,
3261.736,あったけぇ～,1,,,,
3261.897,ここはフィジで破壊,1,,,,
3262.631,それでええねん,1,,,,
3263.314,当たり屋うおお,1,,,,
3263.621,当たり屋いいぞ,1,,,,
3264.269,強いし最高だけど読まれてたね,1,,,,
3264.823,フィジつよいよー！,1,,,,
3264.967,数の暴力はつよいよー！,1,,,,
3265.111,このチームフィジカルはほんと自信持っていいんだから！,1,,,,
3265.103,フラッシュ避けるのもその後勝てるのも最高だ,1,,,,
3265.689,フィジでも勝てるなら一番いいのよ,1,,,,
3266.174,負けてねぇよ！負けてねぇよ！,1,,,,
3266.557,フィジカル勝ちやね,1,,,,
3267.107,今の球脳死で取ってたよなwwa,1,,,,
3267.308,フラッシュ避けが良かったな,1,,,,
3267.431,大丈夫や,1,,,,
3267.555,勝てばええんだわ,1,,,,
3267.552,面白いねぇ,1,,,,
3267.555,いいことよー！こっちも強いんだから！,1,,,,
3267.785,フィジつよい,1,,,,
3268.541,つまりフィジカルでは負けないってことよ,1,,,,
3270.47,全部、壊して,1,,,,
3271.109,雰囲気最高や,1,,,,
3271.632,いけーいけー,1,,,,
3271.842,フィジを活かした動きでしょ？w,1,,,,
3272.5,エイムで引っ叩けば良い！,1,,,,
3272.558,マジ迷って人数差つけられるより当たった方がええんや,1,,,,
3272.632,爆発力だ！,1,,,,
3274.399,フィジ強かったなw,1,,,,
3274.496,フィジカルは負けてないってこと,1,,,,
3275.094,フィジ負けてないの強い,1,,,,
3275.316,フィジはすべてを解決する,1,,,,
3275.368,勝ちゃぁええねんw,1,,,,
3275.408,火力で押すのが一番強い,1,,,,
3275.422,こういうので勝てれば相手次同じことしにくいからね,1,,,,
3275.513,今のフィジカル毎回頼む,1,,,,
3276.632,負けるまでこれでいいやん,1,,,,
3276.809,っぱフィジよ,1,,,,
3276.783,かちゃええね　だすね,1,,,,
3276.845,フィジ信じてこ！,1,,,,
3277.498,構成的にはガツガツが正解か,1,,,,
3277.823,フィジカル差あるはずなのにフィジカルでボコすのウケる,1,,,,
3278.384,それでいいんだ！,1,,,,
3278.407,フィジで勝てるならそれでいいのよ！,1,,,,
3278.941,ごーごー！,1,,,,
3279.851,ゴーゴー！,1,,,,
3280.476,相手も分かんないから当たりに来てくれる,1,,,,
3280.586,ごーごーごー！,1,,,,
3282.52,葛葉がキルするとコメ欄も盛り上がるね,1,,,,
3284.706,フィジカル押し付けろー！,1,,,,
3286.518,壊してけ！,1,,,,
3286.627,当たりあいで勝てるってことよ,1,,,,
3286.761,自信満々でいこー！,1,,,,
3286.842,フィジ磨けば磨くほどいいんだから,1,,,,
3286.966,フィジカルで勝てるならレミングスオンリーでもいい疑惑あるか,1,,,,
3287.559,フィジ破壊が一番対策できないからなｗ,1,,,,
3288.176,フィジ負けてねぇんだよなぁ！,1,,,,
